round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,1.1026216764003038,0.796875,0.07060299089101357,0.978979,relu,12,0.0,10,24,8,40,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.2838105373084545,0.78125,0.05171189279392386,0.9797297,relu,12,0.0,10,24,8,50,sigmoid,binary_crossentropy,adam
10,2.1913939812220633,0.6875,0.06167473151717704,0.9782282,relu,12,0.0,10,24,8,50,sigmoid,binary_crossentropy,RMSprop
10,1.9750468786805868,0.78125,0.05361980850892422,0.9774775,relu,12,0.0,10,24,8,50,sigmoid,sparse_categorical_crossentropy,adam
10,2.02876528352499,0.71875,0.06326735200746143,0.981982,relu,12,0.0,10,24,8,50,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.8314618319272995,0.796875,0.0716697842992191,0.9722222,relu,12,0.0,10,24,12,10,sigmoid,binary_crossentropy,adam
10,1.2225392758846283,0.796875,0.07296043613255401,0.9744745,relu,12,0.0,10,24,12,10,sigmoid,binary_crossentropy,RMSprop
10,1.417832389473915,0.796875,0.06990120797966048,0.9737237,relu,12,0.0,10,24,12,10,sigmoid,sparse_categorical_crossentropy,adam
10,1.3172128051519394,0.796875,0.07696880580768774,0.972973,relu,12,0.0,10,24,12,10,sigmoid,sparse_categorical_crossentropy,RMSprop
10,1.35670012421906,0.78125,0.07200530460551392,0.9707207,relu,12,0.0,10,24,12,20,sigmoid,binary_crossentropy,adam
10,2.2018105443567038,0.78125,0.06368352330403146,0.9744745,relu,12,0.0,10,24,12,20,sigmoid,binary_crossentropy,RMSprop
10,1.312984675168991,0.734375,0.06353777115191815,0.9782282,relu,12,0.0,10,24,12,20,sigmoid,sparse_categorical_crossentropy,adam
10,1.8635998219251633,0.796875,0.0657965407682806,0.9744745,relu,12,0.0,10,24,12,20,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.1290415301918983,0.609375,0.06792767757518026,0.9707207,relu,12,0.0,10,24,12,30,sigmoid,binary_crossentropy,adam
10,1.1782834753394127,0.796875,0.07508726347133471,0.9737237,relu,12,0.0,10,24,12,30,sigmoid,binary_crossentropy,RMSprop
10,2.4067166410386562,0.78125,0.057792557813697,0.9767267,relu,12,0.0,10,24,12,30,sigmoid,sparse_categorical_crossentropy,adam
10,1.579376520588994,0.796875,0.0690334824182587,0.9782282,relu,12,0.0,10,24,12,30,sigmoid,sparse_categorical_crossentropy,RMSprop
10,2.1338709592819214,0.3125,0.06253465790396641,0.9744745,relu,12,0.0,10,24,12,40,sigmoid,binary_crossentropy,adam
10,1.180994214490056,0.78125,0.06618146654898334,0.978979,relu,12,0.0,10,24,12,40,sigmoid,binary_crossentropy,RMSprop
