round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
5,0.2979069525996844,0.88448846,0.24956337335158368,0.9142857,elu,32,0.5,5,50,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.243744034312688,0.8987899,0.2272116195182411,0.78367347,relu,32,0.0,1,65,15,77,sigmoid,binary_crossentropy,RMSprop
5,0.2865425528767872,0.88448846,0.14472013827489347,0.9959184,relu,32,0.25,5,65,5,7,sigmoid,binary_crossentropy,adam
10,0.053627887119849525,0.98129815,0.9296865382973029,0.67755103,relu,32,0.0,10,50,15,77,sigmoid,binary_crossentropy,adam
5,0.27782892089693606,0.87348735,0.3138378207780877,0.8530612,elu,10,0.5,5,35,5,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.13105606988515003,0.9482948,0.51168969091104,0.55510205,elu,32,0.0,5,65,35,7,sigmoid,binary_crossentropy,adam
24,0.17570690512329307,0.9405941,0.8931609830077814,0.5714286,relu,32,0.25,24,50,35,147,sigmoid,binary_crossentropy,RMSprop
24,0.6931471824645996,0.8888889,0.6931471824645996,0.9959184,relu,10,0.25,24,50,15,357,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.5337491269880134,0.83938396,1.5520534437529894,0.3632653,elu,32,0.5,5,65,15,287,sigmoid,binary_crossentropy,adam
5,0.17141202743379327,0.9405941,0.4839270835020104,0.5836735,relu,32,0.25,5,50,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.4739764634400967,0.88668865,0.31732740304907975,0.9959184,relu,32,0.25,1,35,35,287,sigmoid,binary_crossentropy,adam
5,0.32546190755202037,0.8888889,0.6852280650820051,0.9959184,relu,32,0.5,5,35,15,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.8168534928455342,0.8437844,0.6564797284651775,0.9183673,elu,10,0.5,1,20,35,217,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.19431427832530732,0.96039605,0.9972438350015757,0.5346939,elu,10,0.25,24,65,15,217,sigmoid,binary_crossentropy,RMSprop
1,0.2887629844961387,0.88448846,0.34332408065698583,0.6979592,relu,32,0.0,1,35,5,357,sigmoid,sparse_categorical_crossentropy,adam
24,0.37911131194453557,0.8712871,0.01839602006865399,0.9959184,elu,32,0.0,24,65,35,427,sigmoid,binary_crossentropy,RMSprop
10,0.48880309774668435,0.85918593,0.5838130632225348,0.9959184,elu,32,0.5,10,35,35,217,sigmoid,binary_crossentropy,RMSprop
24,0.4501470559337082,0.8888889,0.29423397110432997,0.9959184,elu,10,0.25,24,65,15,217,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.4338697848146898,0.86578655,0.4329403972139164,0.9959184,elu,32,0.5,10,50,15,147,sigmoid,binary_crossentropy,adam
1,0.6481051384681391,0.8470847,0.5892861020808318,0.9959184,relu,32,0.25,1,50,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.9982847873658368,0.86358637,0.621882292445825,0.78367347,elu,32,0.5,1,65,35,427,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.12092776320376757,0.9570957,1.3101256234305245,0.66938776,elu,10,0.25,10,20,5,147,sigmoid,sparse_categorical_crossentropy,adam
10,0.5010566891092147,0.84158415,0.2291763225988466,0.9959184,elu,32,0.5,10,65,35,7,sigmoid,binary_crossentropy,adam
10,0.09016031991563352,0.9746975,0.4119365797967327,0.63673466,relu,32,0.0,10,35,5,7,sigmoid,sparse_categorical_crossentropy,adam
1,0.24838071294392522,0.9031903,0.2681589051815313,0.9959184,relu,10,0.0,1,50,15,287,sigmoid,binary_crossentropy,adam
24,0.15050148693137733,0.9515952,1.0946264388609905,0.60408163,elu,10,0.25,24,65,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.30609142440135517,0.93179315,0.8062061643113896,0.5755102,relu,10,0.5,24,20,15,287,sigmoid,binary_crossentropy,RMSprop
24,0.18135870608728386,0.9614962,1.2412545839134528,0.6244898,elu,10,0.5,24,65,5,217,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.21229312833853484,0.88448846,0.28361628189378857,0.9959184,elu,10,0.25,10,65,15,147,sigmoid,sparse_categorical_crossentropy,adam
24,0.0762593991259406,0.9724972,0.8920412338509851,0.6244898,elu,32,0.0,24,20,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.19258299681416438,0.8877888,0.28309009440091193,0.9959184,elu,32,0.0,5,50,15,217,sigmoid,sparse_categorical_crossentropy,adam
10,0.41163200803912514,0.8668867,0.17933912161661655,0.9959184,relu,32,0.25,10,20,35,427,sigmoid,sparse_categorical_crossentropy,adam
5,0.4317731293253952,0.8822882,0.3433963194185374,0.9877551,elu,10,0.5,5,65,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.2260150817930222,0.9163916,0.35927835532597135,0.6530612,relu,10,0.5,5,50,15,217,sigmoid,sparse_categorical_crossentropy,adam
10,1.7908994902347404,0.8888889,0.0657882568787419,0.9959184,relu,10,0.25,10,50,35,287,sigmoid,sparse_categorical_crossentropy,adam
1,0.7912484440199491,0.83828384,1.5371256701800289,0.66530615,elu,10,0.25,1,65,15,427,sigmoid,binary_crossentropy,RMSprop
1,0.5292432065253997,0.7953795,0.19283794049097566,0.9959184,elu,10,0.25,1,35,15,7,sigmoid,binary_crossentropy,RMSprop
24,0.4090488598901242,0.9207921,1.5990123639301377,0.7306122,elu,10,0.0,24,35,15,427,sigmoid,binary_crossentropy,RMSprop
1,0.7579733237820884,0.79317933,0.41593496653498435,0.9959184,elu,10,0.5,1,50,15,147,sigmoid,binary_crossentropy,adam
24,0.15650638419114316,0.9669967,0.2919812147714654,0.78775513,relu,32,0.0,24,65,35,217,sigmoid,sparse_categorical_crossentropy,adam
10,1.7925306433005284,0.8888889,0.04453113293322754,0.9959184,elu,10,0.5,10,50,35,287,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.17607415749350233,0.9570957,0.6438338355142244,0.5836735,relu,10,0.5,24,65,15,77,sigmoid,binary_crossentropy,RMSprop
1,0.3864474220342762,0.8580858,0.656778845251823,0.12653062,elu,10,0.25,1,20,35,147,sigmoid,binary_crossentropy,RMSprop
24,0.2391180058855628,0.88668865,0.3310299436656796,0.9959184,elu,10,0.5,24,20,5,427,sigmoid,sparse_categorical_crossentropy,adam
24,0.01993842771463299,0.99229926,2.9992567500289606,0.63673466,relu,32,0.0,24,65,5,427,sigmoid,binary_crossentropy,RMSprop
1,0.2923352808995855,0.88448846,0.4354006850768869,0.79183674,elu,10,0.25,1,35,15,147,sigmoid,binary_crossentropy,adam
24,0.41092635132167465,0.8789879,0.18815890976360866,0.9959184,elu,32,0.5,24,35,35,77,sigmoid,binary_crossentropy,adam
1,0.549653231441909,0.86028606,0.43244777990847216,0.9959184,relu,32,0.25,1,35,35,217,sigmoid,binary_crossentropy,RMSprop
5,0.10207195676723854,0.96369636,0.34066951457335026,0.79591835,elu,32,0.0,5,20,5,357,sigmoid,binary_crossentropy,RMSprop
10,0.2947370802739797,0.8888889,0.4810094008640367,0.9959184,elu,32,0.0,10,35,35,217,sigmoid,sparse_categorical_crossentropy,adam
1,1.464051798231924,0.8646865,0.06578825590561169,0.9959184,relu,32,0.25,1,65,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.6812200230209217,0.8888889,0.6643384181723303,0.9959184,relu,32,0.0,1,50,35,7,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.24116701912629554,0.92629266,2.374006753065148,0.59591836,elu,10,0.5,5,50,5,427,sigmoid,binary_crossentropy,RMSprop
10,0.06202381236294714,0.9823982,0.9998954536963482,0.66938776,relu,32,0.0,10,65,15,357,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.08795054948676766,0.9779978,1.254039961464551,0.60816324,elu,10,0.25,24,50,5,77,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.5268600211576007,0.8679868,1.1415991564186252,0.55510205,elu,10,0.5,10,50,15,287,sigmoid,binary_crossentropy,RMSprop
24,0.6931471824645996,0.8888889,0.6931471824645996,0.9959184,relu,10,0.0,24,20,15,287,sigmoid,sparse_categorical_crossentropy,adam
1,0.42010879785445393,0.85258526,0.6874886113770154,0.9959184,elu,32,0.25,1,65,35,427,sigmoid,sparse_categorical_crossentropy,adam
1,1.7474090605810266,0.8646865,0.0657882537160536,0.9959184,relu,32,0.0,1,35,15,357,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.2530325617727273,0.7788779,0.2576078045733121,0.7265306,elu,10,0.0,5,20,15,147,sigmoid,sparse_categorical_crossentropy,adam
1,0.591298864840871,0.8569857,0.5046478351768182,0.9959184,relu,10,0.5,1,20,35,77,sigmoid,sparse_categorical_crossentropy,adam
24,0.4005656490887221,0.88668865,0.22608366067312202,0.9959184,elu,32,0.5,24,50,35,217,sigmoid,binary_crossentropy,adam
1,0.3031241252805271,0.8954896,0.21045648559015626,0.877551,relu,32,0.0,1,20,5,77,sigmoid,binary_crossentropy,RMSprop
1,0.44741142008810153,0.8932893,0.09392541646957397,0.9959184,relu,10,0.0,1,65,35,287,sigmoid,binary_crossentropy,adam
5,0.31958370253328966,0.8888889,0.6937435140415114,0.37142858,relu,32,0.5,5,20,15,217,sigmoid,binary_crossentropy,RMSprop
24,0.38715221158283114,0.8877888,0.16630562744578536,0.9959184,elu,10,0.5,24,50,35,77,sigmoid,binary_crossentropy,adam
