round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.8132984321051773,0.9495413,3.350814461708069,0.265625,elu,32,0.5,10,20,35,427,sigmoid,sparse_categorical_crossentropy,adam
1,0.7538105768756073,0.94220185,0.8035694863647223,0.265625,relu,10,0.5,1,65,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.813298444135466,0.9495413,11.836726576089859,0.265625,elu,10,0.25,24,20,15,217,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.16121972345430735,0.9495413,7.257444299757481,0.265625,elu,10,0.25,10,35,15,287,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.26525683859961297,0.9495413,2.279342867434025,0.265625,relu,10,0.5,10,65,15,7,sigmoid,binary_crossentropy,RMSprop
5,0.08766427035374863,0.9733945,1.8668519295752048,0.453125,elu,10,0.0,5,35,5,357,sigmoid,binary_crossentropy,RMSprop
10,0.8132984364798239,0.9495413,11.836726725101471,0.265625,relu,10,0.25,10,20,35,427,sigmoid,sparse_categorical_crossentropy,adam
10,0.31586975924782557,0.9477064,0.7168432474136353,0.265625,relu,32,0.5,10,35,35,357,sigmoid,binary_crossentropy,RMSprop
1,0.39054967683458003,0.8220183,0.6370421648025513,0.734375,elu,32,0.5,1,20,5,147,sigmoid,sparse_categorical_crossentropy,adam
24,0.8132984397608138,0.9495413,11.836726576089859,0.265625,relu,10,0.25,24,35,15,217,sigmoid,sparse_categorical_crossentropy,adam
1,0.3098862008217278,0.9385321,1.8315378427505493,0.265625,relu,32,0.25,1,20,5,147,sigmoid,binary_crossentropy,RMSprop
5,0.08658479716054789,0.96880734,1.6043023560196161,0.3125,relu,10,0.25,5,50,5,427,sigmoid,binary_crossentropy,adam
24,0.07075491378066734,0.9724771,2.196321964263916,0.453125,relu,32,0.5,24,35,5,147,sigmoid,sparse_categorical_crossentropy,adam
10,0.10356304392889638,0.96422017,1.075029959436506,0.71875,elu,10,0.0,10,35,15,147,sigmoid,binary_crossentropy,RMSprop
10,0.11012507155093568,0.96880734,1.2828730251640081,0.65625,elu,10,0.0,10,20,15,147,sigmoid,binary_crossentropy,RMSprop
1,0.49562488408634525,0.9,4.932888761162758,0.296875,elu,10,0.25,1,20,15,427,sigmoid,binary_crossentropy,RMSprop
24,0.06695723860885588,0.98165137,1.6542230248451233,0.625,elu,32,0.0,24,20,15,147,sigmoid,binary_crossentropy,adam
24,0.024694284753902198,0.9926605,1.744889497756958,0.625,relu,32,0.0,24,65,15,77,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.18251815012767228,0.9431193,2.2889896742999554,0.3125,elu,10,0.25,24,20,15,7,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.3872281687317091,0.94678897,1.9176152348518372,0.265625,relu,32,0.0,1,35,35,77,sigmoid,sparse_categorical_crossentropy,adam
10,0.3399228518734763,0.9412844,1.1619756817817688,0.265625,elu,32,0.5,10,65,35,427,sigmoid,binary_crossentropy,RMSprop
5,0.8132984303553158,0.9495413,11.836726188659668,0.265625,relu,32,0.25,5,50,35,357,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.8132984373547596,0.9495413,11.836726188659668,0.265625,elu,32,0.0,10,50,15,217,sigmoid,sparse_categorical_crossentropy,adam
24,0.47204567029935507,0.9495413,2.380250930786133,0.265625,elu,32,0.0,24,65,35,357,sigmoid,sparse_categorical_crossentropy,adam
1,0.6627698716717674,0.94220185,0.7866464871913195,0.265625,relu,10,0.5,1,35,15,217,sigmoid,binary_crossentropy,adam
1,0.18542504227898962,0.9477064,0.974240817129612,0.375,relu,10,0.0,1,20,5,287,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.8132984430418031,0.9495413,11.836726278066635,0.265625,elu,10,0.25,10,20,15,357,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.17900801324592708,0.94587153,2.745666027069092,0.265625,relu,10,0.0,1,20,15,77,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.22503930029286812,0.9477064,0.8785280287265778,0.265625,elu,32,0.5,24,20,15,287,sigmoid,binary_crossentropy,RMSprop
1,0.5806938888829782,0.9357798,0.7877940535545349,0.265625,relu,32,0.5,1,65,15,147,sigmoid,binary_crossentropy,RMSprop
1,0.17208094791073456,0.9119266,0.9183232858777046,0.265625,elu,10,0.0,1,20,15,77,sigmoid,sparse_categorical_crossentropy,adam
1,0.23124237626472194,0.92752296,2.367471471428871,0.265625,elu,10,0.25,1,65,15,217,sigmoid,binary_crossentropy,RMSprop
24,0.8132984408544763,0.9495413,11.83672645688057,0.265625,relu,10,0.25,24,20,35,427,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.6448950442152286,0.73669726,1.0102077089250088,0.265625,elu,10,0.5,1,65,35,7,sigmoid,binary_crossentropy,adam
1,0.42946928057375305,0.88256884,2.590963363647461,0.265625,elu,32,0.0,1,20,35,217,sigmoid,binary_crossentropy,RMSprop
1,0.3864007518378966,0.93669724,0.8346934113651514,0.421875,elu,10,0.0,1,50,5,7,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.11086806004460464,0.9495413,1.7482594847679138,0.265625,relu,32,0.25,24,50,5,7,sigmoid,binary_crossentropy,RMSprop
24,0.8132984441354663,0.9495413,11.836726725101471,0.265625,relu,10,0.25,24,20,15,427,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.48127085155754834,0.9211009,1.1005456447601318,0.265625,elu,32,0.5,5,50,35,357,sigmoid,binary_crossentropy,RMSprop
24,0.04857649706009091,0.98623854,3.9567031413316727,0.515625,elu,10,0.0,24,35,5,427,sigmoid,binary_crossentropy,RMSprop
1,0.7013082249653996,0.940367,0.8968016467988491,0.265625,relu,10,0.5,1,20,15,77,sigmoid,binary_crossentropy,RMSprop
10,0.17042352305637604,0.94587153,2.942565441131592,0.265625,elu,32,0.5,10,65,5,427,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.12549829457920786,0.94678897,19.78152307868004,0.265625,elu,10,0.0,24,65,35,77,sigmoid,binary_crossentropy,RMSprop
